0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2022/3/29 17:14,2022/3/29 17:14,2022/3/29 17:14,2022/3/29 17:14,2022/3/29 17:15,2022/3/29 17:15,2022/3/29 17:15,2022/3/29 17:15,2022/3/29 17:15,2022/3/29 17:15,2022/3/29 17:15,2022/3/29 17:15,2022/3/29 17:15,2022/3/29 17:15,2022/3/29 17:15,2022/3/29 17:15,2022/3/29 17:16,2022/3/29 17:16,2022/3/29 17:16,2022/3/29 17:16,2022/3/29 17:16
2.801,39.148,39.156,40.915,41.176,40.052,41.182,41.652,36.314,38.185,42.869,9.78,38.353,41.644,41.07,41.184,40.713,40.601,40.073,39.908,40.528
0.262,6.479,7.53,4.918,5.85,6.896,4.951,4.731,4.097,4.563,4.653,1.306,5.848,4.449,4.607,4.537,5.447,4.936,4.833,6.302,5.647
96.834,54.018,53.116,53.913,52.757,52.872,53.707,53.288,59.315,57.067,52.296,82.123,54.435,53.89,54.296,54.244,53.813,54.461,55.094,53.769,53.809
0.104,0.356,0.197,0.254,0.217,0.18,0.159,0.33,0.274,0.185,0.182,6.792,1.364,0.017,0.027,0.036,0.027,0.002,0,0.021,0.017
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10086.997,7193395.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
946928.839,46648524.8,50442240,53170176,49181491.2,55690854.4,53805875.2,59786035.2,53796044.8,51326976,38050201.6,99326361.6,44112281.6,538214.4,11872665.6,477593.6,525107.2,556236.8,471859.2,556236.8,464486.4
0,417.6,1412,122,86.4,64,65.6,42.8,65.6,42.8,15032,79049.2,34766.6,86.4,86.8,1096.8,42.8,100.8,64,1258.8,6145.2
0,571.2,688,165.6,144.8,107.2,136.4,90,138,93.2,20815.4,92521,40603.8,132,124.8,1899.2,80.4,157.2,115.6,34879.2,24808.4
707.939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7447.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42093191168,42479566848,42201079808,42062344192,42555179008,42429997056,42583470080,42662653952,42066034688,42466361344,42315063296,42265608192,42702524416,42312712192,42617266176,42327191552,42342576128,42604666880,42333257728,42686337024,42608857088
3.58473E+11,3.58048E+11,3.58323E+11,3.58454E+11,3.57883E+11,3.57894E+11,3.57595E+11,3.57345E+11,3.57775E+11,3.57199E+11,3.57272E+11,3.57321E+11,3.56884E+11,3.57274E+11,3.5697E+11,3.5726E+11,3.57244E+11,3.56982E+11,3.57254E+11,3.56901E+11,3.56978E+11
1055199232,1055199232,1055199232,1055199232,1055199232,1055199232,1055199232,1055199232,1055199232,1055199232,1055199232,1055199232,1055199232,1055199232,1055199232,1055199232,1055199232,1055199232,1055199232,1055199232,1055199232
1.69682E+11,1.6972E+11,1.69724E+11,1.69731E+11,1.69809E+11,1.69922E+11,1.70064E+11,1.7023E+11,1.70393E+11,1.70565E+11,1.70641E+11,1.70641E+11,1.70641E+11,1.70641E+11,1.70641E+11,1.70641E+11,1.70641E+11,1.70641E+11,1.70641E+11,1.70641E+11,1.70641E+11
10934.492,244004.2,128886.8,15817.6,150133.8,116409,17213,15932.8,58553,15167.8,16481.6,170575.6,40350,15648,110091.8,33420.4,199295.4,16558.6,77165.2,151363.4,170295.2
