,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
,2022/4/22 14:16,2022/4/22 14:16,2022/4/22 14:16,2022/4/22 14:16,2022/4/22 14:17,2022/4/22 14:17,2022/4/22 14:17,2022/4/22 14:17,2022/4/22 14:17,2022/4/22 14:17,2022/4/22 14:17,2022/4/22 14:17,2022/4/22 14:17,2022/4/22 14:17,2022/4/22 14:17,2022/4/22 14:17,2022/4/22 14:18,2022/4/22 14:18,2022/4/22 14:18,2022/4/22 14:18,2022/4/22 14:18,2022/4/22 14:18,2022/4/22 14:18,2022/4/22 14:18,2022/4/22 14:18,2022/4/22 14:18,2022/4/22 14:18
Cpu User,41.049,38.059,37.732,38.104,36.056,38.982,37.134,36.836,38.454,35.845,38.463,37.279,37.244,38.769,37.457,38.303,41.634,36.694,37.951,37.302,40.125,38.44,38.503,38.074,40.062,37.009,37.759
,6.541,8.762,8.399,8.053,10.142,7.597,8.297,9.154,7.684,9.057,7.75,8.827,9.016,8.103,8.986,7.431,5.552,6.819,6.992,8.706,7.434,8.898,8.186,8.243,7.152,8.742,7.837
,52.362,52.783,53.534,53.518,53.486,52.955,54.153,53.468,52.667,53.919,52.237,52.787,52.387,48.985,49.824,50.743,49.753,53.658,52.089,50.562,48.563,49.895,49.583,50.689,49.456,51.264,51.341
,0.048,0.396,0.336,0.325,0.316,0.467,0.417,0.542,1.194,1.179,1.551,1.107,1.353,4.142,3.733,3.522,3.061,2.829,2.969,3.431,3.878,2.767,3.728,2.995,3.33,2.986,3.063
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
disk read,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8192,6553.6,0,0,0,0,0,0,0,0
,12636160,57464422.4,58263961.6,58369638.4,58215628.8,55016652.8,55041228.8,53747712,45344358.4,18633523.2,14924185.6,23084236.8,16127590.4,11073945.6,13375078.4,12866355.2,14958592,7324467.2,8073216,6759219.2,7785676.8,7414579.2,6517555.2,7340851.2,5372313.6,7588249.6,5500108.8
,1379.2,951.8,1053.6,1053.8,992,1053.6,1145,1075.2,926,1036.8,1124.4,926.2,1054,1063,925.8,1054.2,6773.2,103059.2,66904.2,19383.2,1420,937.4,1108.8,1053.2,927,1054.2,1061.6
,5648.2,4706.8,5189.4,5186.8,11871.8,5205.8,5311.6,5226.6,4562.8,5115.2,5369.6,4569.4,5199.8,5234,4572.6,5199.2,12953,125627,82490.8,26885.2,5677,4567,5245,5202.2,4550.8,5199.6,5217.6
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,31413993472,31615979520,31606280192,31153266688,32144117760,31413178368,31679844352,31997157376,31230918656,32762318848,31406817280,32366149632,31930802176,31049879552,32209846272,31428255744,32468406272,32054280192,31586050048,31665057792,32765685760,32132227072,31449071616,32335597568,32274116608,32840822784,32009625600
,2.64E+11,2.64E+11,2.64E+11,2.65E+11,2.64E+11,2.64E+11,2.64E+11,2.64E+11,2.64E+11,2.63E+11,2.64E+11,2.63E+11,2.64E+11,2.65E+11,2.63E+11,2.64E+11,2.63E+11,2.64E+11,2.64E+11,2.64E+11,2.63E+11,2.64E+11,2.64E+11,2.63E+11,2.63E+11,2.63E+11,2.64E+11
