,0,1,2,3,4,5,6,7,8,9,10,11,,
0,2022/6/1 11:28,2022/6/1 11:28,2022/6/1 11:28,2022/6/1 11:28,2022/6/1 11:28,2022/6/1 11:28,2022/6/1 11:28,2022/6/1 11:28,2022/6/1 11:29,2022/6/1 11:29,2022/6/1 11:29,2022/6/1 11:29,,
1,1.216,0.97,1.087,1.291,1.194,1.202,1.217,0.88,0.599,0.342,0.834,0.829,usr,total cpu usage
2,0.343,0.265,0.286,0.303,0.288,0.359,0.28,0.242,0.184,0.133,0.213,0.219,sys,
3,97.142,98.085,97.662,97.766,97.57,97.415,96.901,97.912,97.9,98.113,97.899,97.498,idl,
4,1.299,0.68,0.964,0.639,0.948,1.024,1.602,0.966,1.318,1.412,1.054,1.454,wai,
5,0,0,0,0,0,0,0,0,0,0,0,0,stl,
6,134348.8,78643.2,178585.6,91750.4,116326.4,106496,199884.8,83558.4,70451.2,40960,86835.2,108134.4,read,dsk/total
7,18309939.2,23568384,23363584,23076864,19900006.4,17969152,17725849.6,12065177.6,8755609.6,5677056,10504601.6,10683187.2,writ,
8,1553198,1219514.2,1348653.4,1567248.2,1475413.4,1489387.8,1455027.6,1113719.4,751770.6,376440,1024905.6,1082023.2,recv,net/total
9,1928883.4,1504721.4,1689950.4,1958190.6,1839113,1836182.2,1801557.2,1383771.6,932865.4,458879.6,1292675.6,1349130.2,send,
10,0,0,0,0,0,0,0,0,0,0,0,0,in,paging
11,0,0,0,0,0,0,0,0,0,0,0,0,out,
12,76385484800,76399116288,76434513920,76453781504,76458037248,76480454656,76481925120,76485156864,76523843584,76508323840,76517863424,76532293632,used,memory usage
13,1.61356E+11,1.6134E+11,1.61303E+11,1.61281E+11,1.61275E+11,1.6125E+11,1.61246E+11,1.6124E+11,1.612E+11,1.61215E+11,1.61204E+11,1.61187E+11,free,
14,1374576640,1374576640,1374576640,1374576640,1374576640,1374576640,1374576640,1374576640,1374576640,1374576640,1374576640,1374576640,buff,
15,3.64421E+11,3.64426E+11,3.64432E+11,3.64439E+11,3.64445E+11,3.64452E+11,3.64459E+11,3.64465E+11,3.6447E+11,3.64471E+11,3.64475E+11,3.6448E+11,cach,
16,19602.2,16144.8,17699.4,20208.6,19033,18928.6,18594.8,14704.4,10479.4,5975.4,13508.8,14151.6,int,system
17,22437.8,18675.6,20363.4,22949.6,21778.8,21608.2,21500.4,16720.6,12264.8,7422.6,15373,16131.8,csw,
18,1,1,1,1,9,1,10,0,0,0,1,1,run,procs
19,2,0,0,1,0,1,1,1,3,2,0,2,blk,
20,5.6,5.4,8,5.2,5,11.6,8.4,8.6,10.2,4.8,5.2,5.6,new,
21,2.87,2.88,2.81,2.66,2.61,2.48,2.52,2.56,2.6,2.47,3.07,3.07,1m,load avg
22,0.95,0.99,1,1,1.02,1.02,1.05,1.09,1.12,1.12,1.26,1.29,5m,
23,0.36,0.37,0.38,0.39,0.4,0.4,0.41,0.43,0.44,0.44,0.5,0.51,15m,
24,39062589440,39062589440,39062589440,39062589440,39062589440,39062589440,39062589440,39062589440,39062589440,39062589440,39062589440,39062589440,used,swap
25,20935352320,20935352320,20935352320,20935352320,20935352320,20935352320,20935352320,20935352320,20935352320,20935352320,20935352320,20935352320,free,
26,0,0,0,0,0,0,0,0,0,0,0,0,343,interrupts
27,0,0,0,0,0,0,0,0,0,0,0,0,344,
28,0,0,0,0,0,0,0,0,0,0,0,0,416,
29,15.2,8.6,18.6,10.8,13.4,12.6,22.6,9.8,8.2,4.4,9.8,12.8,read,io/total
30,237.2,431.6,388.8,390,364.4,119.6,68.2,213.8,176,98,78.8,102.8,writ,
31,0,0,0,0,0,0,0,0,0,0,0,0,#aio,async
32,4224,4224,4224,4224,4224,4224,4224,4224,4224,4224,4224,4224,files,filesystem
33,548236,548236,548453,548450,548449,548457,548457,548463,548474,548453,548447,548453,inodes,
34,0,0,0,0,0,0,0,0,0,0,0,0,msg,sysv ipc
35,0,0,0,0,0,0,0,0,0,0,0,0,sem,
36,1,1,1,1,1,1,1,1,1,1,1,1,shm,
37,5,5,5,5,5,5,5,5,5,5,5,5,pos,file locks
38,11,11,11,11,11,11,11,11,11,11,11,11,lck,
39,1,1,1,1,1,1,1,1,1,1,1,1,rea,
40,16,16,16,16,16,16,16,16,16,16,16,16,wri,
41,0,0,0,0,0,0,0,0,0,0,0,0,raw,raw
42,5147,5147,5147,5147,5147,5147,5147,5147,5147,5147,5147,5147,tot,sockets
43,83,83,83,83,83,83,83,83,83,83,83,83,tcp,
44,1,1,1,1,1,1,1,1,1,1,1,1,udp,
45,0,0,0,0,0,0,0,0,0,0,0,0,raw,
46,0,0,0,0,0,0,0,0,0,0,0,0,frg,
47,5,5,5,5,5,5,5,5,5,5,5,5,lis,tcp sockets
48,80,80,80,80,80,80,80,80,80,80,80,80,act,
49,0,0,0,0,0,0,0,0,0,0,0,0,syn,
50,0,0,0,0,0,0,0,0,0,0,0,0,tim,
51,0,0,0,0,0,0,0,0,0,0,0,0,clo,
52,0,0,0,0,0,0,0,0,0,0,0,0,lis,udp
53,1,1,1,1,1,1,1,1,1,1,1,1,act,
54,0,0,0,0,0,0,0,0,0,0,0,0,dgm,unix sockets
55,16,16,16,16,16,16,16,16,16,16,16,16,str,
56,4,4,4,4,4,4,4,4,4,4,4,4,lis,
57,12,12,12,12,12,12,12,12,12,12,12,12,act,
58,0,0,0,0,0,0,0,0,0,0,0,0,majpf,virtual memory
59,8279.4,7668,8719.6,10080,7062.4,8687.6,8476,10662.8,7955.6,5432.2,6484.4,6683.2,minpf,
60,15624.4,16388,12867.6,16752,14720.2,18093,15585,15250,14378.4,9849.4,13455.2,16143.6,alloc,
61,14961.2,15677.6,10943.2,15667.8,14314,17409.8,14458.2,15478.4,12372.8,10261,13248.8,15202.8,free,
62,0,0,0,0,0,0,0,0,0,0,0,0,steal,advanced virtual memory
63,0,0,0,0,0,0,0,0,0,0,0,0,scanK,
64,0,0,0,0,0,0,0,0,0,0,0,0,scanD,
65,0,0,0,0,0,0,0,0,0,0,0,0,pgoru,
66,0,0,0,0,0,0,0,0,0,0,0,0,astll,
67,255050,255050,255035,254974,254974,254974,254974,254974,254974,254974,254974,254974,d32F,zones memory
68,102,102,102,102,102,102,102,102,102,102,102,102,d32H,
69,39121105,39116739,39107517,39102735,39102143,39095785,39091207,39092084,39082177,39084457,39085179,39078774,normF,
70,16942,16942,16942,16942,16942,16942,16942,16942,16942,16942,16942,16942,normH,
71,74,74,74,75,74,74,74,74,76,74,74,74,Conn,postgresql conn
72,0.072,0.072,0.072,0.073,0.072,0.072,0.072,0.072,0.074,0.072,0.072,0.072,%Con,
73,65,65,65,56,65,64,65,65,61,66,47,65,Act,
74,0,0,0,0,0,0,0,0,0,0,0,0,LongQ,
75,0,0,0,0,0,0,0,0,0,0,0,0,LongX,
76,4,4,4,14,4,5,4,4,9,3,10,4,Idl,
77,0,0,0,0,0,0,0,0,0,0,0,0,LIdl,
78,0,0,0,0,0,0,0,0,0,0,0,0,LWait,
79,1,1,1,1,1,1,1,1,1,1,1,1,SQLs1,
80,1,1,1,1,1,1,1,1,1,1,1,1,SQLs3,
81,0,0,0,0,0,0,0,0,0,0,0,0,SQLs5,
82,1,1,1,1,1,1,1,1,4,2,1,1,Xact1,
83,1,1,1,1,1,1,1,1,1,1,1,1,Xact3,
84,4,7,4,5,4,3,2,3,3,9,3,0,Locks,postgresql locks
85,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,1048576,shared_buffers,postgresql settings
86,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,work_mem,
87,10,10,10,10,10,10,10,10,10,10,10,10,bgwriter_delay,
88,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,max_connections,
89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,autovacuum_work_mem,
90,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,temp_buffers,
91,10,10,10,10,10,10,10,10,10,10,10,10,autovacuum_max_workers,
